STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-TAVG-STDDEV
GHCND:USC00419330,1218.6,35.2775,-102.46333,20100415,8.6
GHCND:USC00419330,1218.6,35.2775,-102.46333,20100715,4.1
GHCND:USC00419330,1218.6,35.2775,-102.46333,20101015,7.5
GHCND:USC00045502,-54.9,33.5713,-116.0766,20100115,4.8
GHCND:USC00045502,-54.9,33.5713,-116.0766,20100415,5.4
GHCND:USC00045502,-54.9,33.5713,-116.0766,20100715,4.2
GHCND:USC00045502,-54.9,33.5713,-116.0766,20101015,5.1
GHCND:USW00003969,393.2,32.2313,-98.2319,20100715,3.5
GHCND:USW00003969,393.2,32.2313,-98.2319,20101015,7.4
GHCND:USW00012896,2.4,24.72583,-81.05167,20100115,6.9
GHCND:USW00012896,2.4,24.72583,-81.05167,20100415,3.4
GHCND:USW00012896,2.4,24.72583,-81.05167,20100715,2.3
GHCND:USW00012896,2.4,24.72583,-81.05167,20101015,2.9
GHCND:USW00012895,7.3,27.49806,-80.37667,20100115,8.1
GHCND:USW00012895,7.3,27.49806,-80.37667,20100415,4.8
GHCND:USW00012895,7.3,27.49806,-80.37667,20100715,1.9
GHCND:USW00012895,7.3,27.49806,-80.37667,20101015,4.0
GHCND:USW00012894,9.4,26.53611,-81.755,20100115,7.7
GHCND:USW00012894,9.4,26.53611,-81.755,20100415,4.6
GHCND:USW00012894,9.4,26.53611,-81.755,20100715,2.2
GHCND:USW00012894,9.4,26.53611,-81.755,20101015,3.8
GHCND:USC00300093,457.2,42.1004,-78.7501,20100115,11.1
GHCND:USC00300093,457.2,42.1004,-78.7501,20100415,9.2
GHCND:USC00300093,457.2,42.1004,-78.7501,20100715,5.4
GHCND:USC00300093,457.2,42.1004,-78.7501,20101015,7.6
GHCND:USC00252741,938.2,40.418,-101.5147,20100115,11.3
GHCND:USC00252741,938.2,40.418,-101.5147,20100415,9.3
GHCND:USC00252741,938.2,40.418,-101.5147,20100715,6.2
GHCND:USC00252741,938.2,40.418,-101.5147,20101015,8.5
GHCND:USC00419346,368.8,34.15167,-99.3255,20100715,4.5
GHCND:USC00419346,368.8,34.15167,-99.3255,20101015,7.8
GHCND:USC00251415,682.4,40.2847,-100.1433,20100115,11.1
GHCND:USC00251415,682.4,40.2847,-100.1433,20100415,9.3
GHCND:USC00251415,682.4,40.2847,-100.1433,20100715,5.7
GHCND:USC00251415,682.4,40.2847,-100.1433,20101015,8.6
GHCND:USC00305377,29.3,40.73278,-73.61833,20100115,9.1
GHCND:USC00305377,29.3,40.73278,-73.61833,20100415,7.0
GHCND:USC00305377,29.3,40.73278,-73.61833,20100715,5.2
GHCND:USC00305377,29.3,40.73278,-73.61833,20101015,6.6
GHCND:USC00251825,442,41.4638,-97.3277,20100115,11.9
GHCND:USC00251825,442,41.4638,-97.3277,20100415,9.6
GHCND:USC00251825,442,41.4638,-97.3277,20100715,5.8
GHCND:USC00251825,442,41.4638,-97.3277,20101015,8.8
GHCND:USC00300085,539.5,42.2613,-77.7849,20100115,11.6
GHCND:USC00300085,539.5,42.2613,-77.7849,20100415,9.4
GHCND:USW00003999,392.6,30.7397,-98.235,20100115,9.4
GHCND:USW00003999,392.6,30.7397,-98.235,20100415,6.9
