Company, Job Title, Status, Date Applied
Tata Consultancy Services, Junior Software Developer, Applied, 2/11/19
Gemini, Software Engineer, Rejected, 2/11/19
Brock, Software Developer, Phone Screening, 2/11/19
Sam's Club, Software Engineer 2-Technology, Sam's Tech, Applied, 2/11/19
Goldman Sachs, I&L Technology - Software Engineer - Dallas, Applied, 2/11/19
Tektronix, Entry Level Software Engineer, Applied, 2/12/19
Epic, Software Developer, Phone Screening/Technical Screening?, 2/13/19
Fletcher Yoder, Technical Advisor, Applied, 2/14/19
Opcity, Software Engineer, Applied, 2/15/19
Novi Labs, Software Engineer (Python), Applied, 2/15/19
TripAdvisor, Software Engineer, Applied, 2/16/19
Squarespace, Software Engineer - Product Backend, Applied, 2/19/19
Microsoft, Software Development Engineer at Bellevue, Applied, 2/19/19
